crsp_fundno,date,mtna,mret,mnav,ticker,tm
30592,31aug2009,235.8,.0334928,12.96,"BPEQX",2009m8
30592,30sep2009,239.2,.0509259,13.62,"BPEQX",2009m9
30592,30oct2009,212.4,-.0279001,13.24,"BPEQX",2009m10
30592,30nov2009,210.2,.0581571,14.01,"BPEQX",2009m11
30592,31dec2009,206.4,.0293767,14.05,"BPEQX",2009m12
30592,29jan2010,200.7,-.030605,13.62,"BPEQX",2010m1
30592,26feb2010,206.2,.0330396,14.07,"BPEQX",2010m2
30592,31mar2010,220.3,.0547264,14.84,"BPEQX",2010m3
30592,30apr2010,224.2,.0154987,15.07,"BPEQX",2010m4
30592,28may2010,202.7,-.089582,13.72,"BPEQX",2010m5
30592,30jun2010,189,-.0590379,12.91,"BPEQX",2010m6
30592,30jul2010,203.3,.0821069,13.97,"BPEQX",2010m7
30592,31aug2010,189.9,-.0572656,13.17,"BPEQX",2010m8
30592,30sep2010,206.9,.0926348,14.39,"BPEQX",2010m9
30592,29oct2010,199,.0375261,14.93,"BPEQX",2010m10
30592,30nov2010,198.6,.0013396,14.95,"BPEQX",2010m11
30592,31dec2010,211,.0656312,15.81,"BPEQX",2010m12
30592,31jan2011,218.2,.0278305,16.25,"BPEQX",2011m1
30592,28feb2011,221.2,.0203077,16.58,"BPEQX",2011m2
30592,31mar2011,222.2,-.0066345,16.47,"BPEQX",2011m3
30592,29apr2011,231.4,.0382514,17.1,"BPEQX",2011m4
30592,31may2011,228,-.0105263,16.92,"BPEQX",2011m5
30592,30jun2011,206.3,-.0189125,16.6,"BPEQX",2011m6
30592,29jul2011,201.9,-.0295181,16.11,"BPEQX",2011m7
30592,31aug2011,188.8,-.0657976,15.05,"BPEQX",2011m8
30592,30sep2011,171.9,-.0830565,13.8,"BPEQX",2011m9
30592,31oct2011,190.1,.115942,15.4,"BPEQX",2011m10
30592,30nov2011,184.2,-.0064935,15.3,"BPEQX",2011m11
30592,30dec2011,184.2,.0040521,15.21,"BPEQX",2011m12
